s,sigma_min,qdot_pinv_norm,qdot_dls_norm,pinv_task_error,dls_task_error
6.930000000000e-01,7.565051144312e-02,1.321868128746e+01,9.199867752929e+00,3.436662337588e-15,3.040252992819e-01
7.029000000000e-01,7.312541296456e-02,1.367513644654e+01,9.318513435871e+00,5.028243221521e-15,3.185798567861e-01
7.128000000000e-01,7.059281257007e-02,1.416574809238e+01,9.433323040733e+00,3.504795746169e-15,3.340751946726e-01
7.227000000000e-01,6.805264757203e-02,1.469450544068e+01,9.542994471448e+00,9.524637432480e-15,3.505739604527e-01
7.326000000000e-01,6.550483134002e-02,1.526604953472e+01,9.645996260869e+00,5.291649636840e-15,3.681406418253e-01
7.425000000000e-01,6.294925102303e-02,1.588581251958e+01,9.740533393399e+00,3.046965121959e-15,3.868407183207e-01
7.524000000000e-01,6.038576518205e-02,1.656019422765e+01,9.824509623059e+00,5.598265242517e-15,4.067394688732e-01
7.623000000000e-01,5.781420143779e-02,1.729678824806e+01,9.895486635163e+00,6.292201704046e-15,4.279003423497e-01
7.722000000000e-01,5.523435431346e-02,1.810467439023e+01,9.950640812552e+00,3.058557565240e-15,4.503827797136e-01
7.821000000000e-01,5.264598357120e-02,1.899480135360e+01,9.986718966521e+00,7.752847771041e-15,4.742393573583e-01
7.920000000000e-01,5.004881352718e-02,1.998049363262e+01,9.999995239129e+00,5.717804362971e-15,4.995121030041e-01
8.019000000000e-01,4.744253412335e-02,2.107813207027e+01,9.986232550497e+00,7.207109677665e-15,5.262278214594e-01
8.118000000000e-01,4.482680499662e-02,2.230808107059e+01,9.940653535637e+00,1.747894160765e-14,5.543922624190e-01
8.217000000000e-01,4.220126451840e-02,2.369597241722e+01,9.857927979507e+00,9.721106961356e-15,5.839829737335e-01
8.316000000000e-01,3.956554694288e-02,2.527451475507e+01,9.732186402135e+00,6.948047206662e-15,6.149407220495e-01
8.415000000000e-01,3.691931266815e-02,2.708609472199e+01,9.557072735875e+00,8.727772225000e-15,6.471594434720e-01
8.514000000000e-01,3.426229961802e-02,2.918659900674e+01,9.325853005161e+00,1.471542315638e-14,6.804748301436e-01
8.613000000000e-01,3.159440861742e-02,3.165117005699e+01,9.031601539113e+00,7.105186796172e-15,7.146518905035e-01
8.712000000000e-01,2.891584355180e-02,3.458311697560e+01,8.667491419615e+00,1.516377784310e-14,7.493721741238e-01
8.811000000000e-01,2.622734002335e-02,3.812815173440e+01,8.227221417817e+00,1.699453405649e-14,7.842218664275e-01
8.910000000000e-01,2.353053729011e-02,4.249796711698e+01,7.705617363190e+00,8.718814070531e-15,8.186826832921e-01
9.009000000000e-01,2.082858239080e-02,4.801094866839e+01,7.099451398139e+00,6.743334944596e-15,8.521284916244e-01
9.108000000000e-01,1.812710955248e-02,5.516599307268e+01,6.408527248528e+00,6.126430337762e-15,8.838319244959e-01
9.207000000000e-01,1.543582058693e-02,6.478437569085e+01,5.637081539979e+00,2.804612526071e-14,9.129870207150e-01
9.306000000000e-01,1.277100710475e-02,7.830236032273e+01,4.795544181876e+00,2.543746761053e-14,9.387560711821e-01
9.405000000000e-01,1.015948306817e-02,9.843020489234e+01,3.902667544818e+00,1.869845262140e-14,9.603509151577e-01
9.504000000000e-01,7.644435721529e-03,1.308141027576e+02,2.987931512022e+00,3.078383289983e-14,9.771589496160e-01
9.603000000000e-01,5.293340328239e-03,1.889166269293e+02,2.093868512130e+00,4.744057010829e-14,9.889164413627e-01
9.702000000000e-01,3.206583049558e-03,3.118584438777e+02,1.277379523975e+00,1.097781352817e-13,9.959039764706e-01
9.801000000000e-01,1.521689781078e-03,6.571641686990e+02,6.081126687987e-01,1.708622967991e-13,9.990746411661e-01
9.900000000000e-01,4.023098062877e-04,2.485646594666e+03,1.609135047701e-01,4.753461178775e-13,9.999352629191e-01
